id,book_id,store_id,price,stock,figure
1,1,1,3500,1000,200
2,1,3,3000,2000,150
3,2,3,1500,400,50
4,3,1,1100,700,1500
5,4,2,4000,0,500
6,5,1,1800,9000,3000
7,6,2,1300,10,300
8,7,3,800,0,1000
9,8,1,2200,300,100
10,9,3,1500,1000,1200
11,10,1,1100,5000,10000
12,11,3,1300,10000,8000
13,12,1,1300,450,5000
14,13,2,1800,800,2000
15,13,3,1500,350,2100
16,14,1,1600,15000,4300
17,15,2,1800,2700,1700
18,16,1,1400,1,3400
19,17,1,1600,650,5600
20,18,1,2500,0,1300
21,18,3,2200,10,2700
22,19,1,2100,6,800
23,20,3,1300,100000,1000
24,21,1,2500,600,3000
25,22,1,2000,40,2800
26,23,1,2400,8,2900
27,24,2,2400,9000,7000
28,24,3,1900,3200,10000
29,25,3,2000,690,5000
30,26,1,1000,200,4100
31,27,1,2500,580,1000
32,27,3,2700,360,14000
33,28,1,3900,230,6400
34,29,2,1500,3900,9000
35,30,3,2000,2100,4000
