id,name,release_year,total_page
1,コードと回路,2017,245
2,宇宙の歴史,2019,314
3,星の記憶,,181
4,リファクタリング,2004,315
5,時短レシピ100,2008,298
6,世界一周マップ,2005,187
7,砂,,244
8,ドン・スターク,2006,272
9,投資のススメ,2018,350
10,青毛のアン,2009,338
11,ロザリンのおくりもの,2019,187
12,かもめ飛行,2006,307
13,英単語1000,2010,185
14,預言者モネ,2014,334
15,人生の歩み方,2008,274
16,子育て日記,2009,241
17,ためになるお金の知識,2004,326
18,SNSマーケティングの基本,2018,205
19,一軒家かマンションか,2005,323
20,SDGsとは何か,2020,197
21,覚えておきたいExcel手法50選,2011,189
22,マネジメントの教本,2009,220
23,デザインの心得,2005,322
24,コンピューターサイエンス基礎,2021,216
25,マンガで学ぶ日本史,2020,308
26,カエルのぴょこ,2016,54
27,マンガで学ぶデータベース,2019,324
28,達人Ruby on Rails,2008,295
29,噂のトンネル,2010,325
30,マンガで学ぶ世界史,2020,262
